Author,City,Institution,Keywords,coordinates
Cristina Vicente-Chicote,Cartagena,Technical University of Cartagena,"['MDE', 'component-based development', 'user interfaces', 'user interaction', 'cooperative systems']",POINT (-0.9841152 37.6019353)
Gislaine Camila Lapasini Leal,Maringa,State University of Maringa,"['global software development', 'software process', 'test']",POINT (-51.9382078 -23.425269)
Ana Paula Chaves,Campo Mourao,Federal Technological University of Parana,"['global software development', 'software process', 'test']",POINT (-52.37802 -24.046329)
Elisa Hatsue Moriya Huzita,Maringa,State University of Maringa,"['global software development', 'software process', 'test']",POINT (-51.9382078 -23.425269)
Marcio Eduardo Delamaro,Sao Carlos,University of Sao Paulo,"['global software development', 'software process', 'test']",POINT (-47.891154 -22.0180395)
Anuradha Mathrani,Auckland,Massey University,"['distributed knowledge management', 'Tacit', 'Explicit', 'Experience Capture', 'Software Development']",POINT (174.7631803 -36.852095)
David Parsons,Auckland,Massey University,"['distributed knowledge management', 'Tacit', 'Explicit', 'Experience Capture', 'Software Development']",POINT (174.7631803 -36.852095)
Sanjay Mathrani,Auckland,Massey University,"['distributed knowledge management', 'Tacit', 'Explicit', 'Experience Capture', 'Software Development']",POINT (174.7631803 -36.852095)
Deepti Mishra,Ankara,Atilim University Incek,"['global software development', 'distributed software development', 'software inspection', 'tool', 'software quality']",POINT (32.8540497 39.9207759)
Alok Mishra,Ankara,Atilim University Incek,"['global software development', 'distributed software development', 'software inspection', 'tool', 'software quality']",POINT (32.8540497 39.9207759)
Christian Gütl,Graz,Graz University of Technology,[],POINT (15.4382786 47.0708678)
Lutz Prechelt,Berlin,Freie Universität Berlin,"['FNR', 'failures', 'forum', 'negative results']",POINT (13.3888599 52.5170365)
Mushtaq Ahmad,Pretoria,University of Pretoria,"['MPEG spelling variations', 'mapping', 'phonetic algorithms']",POINT (28.1879101 -25.7459277)
Stefan Gruner,Pretoria,University of Pretoria,"['MPEG spelling variations', 'mapping', 'phonetic algorithms']",POINT (28.1879101 -25.7459277)
Luiz F. Bittencourt,Campinas,University of Campinas,"['load balancing', 'Nash equilibrium', 'game theory']",POINT (-47.059564 -22.9056391)
Flávio K. Miyazawa,Campinas,University of Campinas,"['load balancing', 'Nash equilibrium', 'game theory']",POINT (-47.059564 -22.9056391)
André L. Vignatti,Campinas,University of Campinas,"['load balancing', 'Nash equilibrium', 'game theory']",POINT (-47.059564 -22.9056391)
Dario Della Monica,Reykjavik,Reykjavik University,"['interval neighborhood logics', 'undecidability', 'hybrid logics', 'interval length binders', 'first-order logic']",POINT (-21.9422367 64.145981)
Valentin Goranko,Copenhagen,Technical Institute of Denmark,"['interval neighborhood logics', 'undecidability', 'hybrid logics', 'interval length binders', 'first-order logic']",POINT (12.5700724 55.6867243)
Angelo Montanari,Udine,University of Udine,"['interval neighborhood logics', 'undecidability', 'hybrid logics', 'interval length binders', 'first-order logic']",POINT (13.2358377 46.0634632)
Guido Sciavicco,Murcia,University of Murcia,"['interval neighborhood logics', 'undecidability', 'hybrid logics', 'interval length binders', 'first-order logic']",POINT (-1.1305431 37.9923795)
Daewon Kim,Cheonan,Dankook University,"['mobile', 'augmented reality', 'image', 'object', 'recognition']",POINT (127.1140654 36.8150283)
Doosung Hwang,Cheonan,Dankook University,"['mobile', 'augmented reality', 'image', 'object', 'recognition']",POINT (127.1140654 36.8150283)
Jonas Lundberg,Vaxjo,Linnaeus University,"['static program analysis', 'points-to analysis', 'context sensitivity']",POINT (14.8094385 56.8787183)
Welf Lowe,Vaxjo,Linnaeus University,"['static program analysis', 'points-to analysis', 'context sensitivity']",POINT (14.8094385 56.8787183)
Iosif Petrakis,München,Ludwig-Maximilians Universität München,"['constructive mathematics', 'countable choice']",POINT (11.5753822 48.1371079)
Vladimir Tarasov,Jönköping,Jönköping University,"['competence', 'competence managemen', 'competence profile', 'formalisation', 'ontology-based profile', 'OWL', 'Jena']",POINT (14.165719 57.7825634)
Anton V. Uzunov,Adelaide,University of Adelaide,"['computer security', 'security engineering', 'secure software engineering', 'distributed systems', 'security methodologies', 'model driven security', 'secure software architectures', 'security patterns', 'model-based development', 'survey']",POINT (138.5999312 -34.9281805)
Eduardo B. Fernandez,Boca Raton,Florida Atlantic University,"['computer security', 'security engineering', 'secure software engineering', 'distributed systems', 'security methodologies', 'model driven security', 'secure software architectures', 'security patterns', 'model-based development', 'survey']",POINT (-80.0830984 26.3586885)
Katrina Falkner,Adelaide,University of Adelaide,"['computer security', 'security engineering', 'secure software engineering', 'distributed systems', 'security methodologies', 'model driven security', 'secure software architectures', 'security patterns', 'model-based development', 'survey']",POINT (138.5999312 -34.9281805)
