Author,City,Institution,Keywords,location,location_address
Andrea Rosales,Barcelona,Universitat Pompeu Fabra,"['activities across spaces', 'CSCL', 'collaborative learning flows', 'classroom orchestration', 'augmented physical spaces', 'wearable devices']",POINT (2.1774322 41.3828939),"Barcelona, 08001, Catalunya, España"
Javier Melero,Barcelona,Universitat Pompeu Fabra,"['activities across spaces', 'CSCL', 'collaborative learning flows', 'classroom orchestration', 'augmented physical spaces', 'wearable devices']",POINT (2.1774322 41.3828939),"Barcelona, 08001, Catalunya, España"
Josep Blat,Barcelona,Universitat Pompeu Fabra,"['activities across spaces', 'CSCL', 'collaborative learning flows', 'classroom orchestration', 'augmented physical spaces', 'wearable devices']",POINT (2.1774322 41.3828939),"Barcelona, 08001, Catalunya, España"
María Blanca Ibáñez,Madrid,Universidad Carlos III de Madrid,"['hybrid learning environments', 'augmented reality', 'augmented virtuality', 'mirror worlds', '3D virtual worlds', 'architecture for virtual learning environments']",POINT (-3.7035825 40.4167047),"Madrid, Comunidad de Madrid, España"
David Maroto,Madrid,Universidad Carlos III de Madrid,"['hybrid learning environments', 'augmented reality', 'augmented virtuality', 'mirror worlds', '3D virtual worlds', 'architecture for virtual learning environments']",POINT (-3.7035825 40.4167047),"Madrid, Comunidad de Madrid, España"
José Jesús García Rueda,Madrid,Universidad Carlos III de Madrid,"['hybrid learning environments', 'augmented reality', 'augmented virtuality', 'mirror worlds', '3D virtual worlds', 'architecture for virtual learning environments']",POINT (-3.7035825 40.4167047),"Madrid, Comunidad de Madrid, España"
Derick Leony,Madrid,Universidad Carlos III de Madrid,"['hybrid learning environments', 'augmented reality', 'augmented virtuality', 'mirror worlds', '3D virtual worlds', 'architecture for virtual learning environments']",POINT (-3.7035825 40.4167047),"Madrid, Comunidad de Madrid, España"
Carlos Delgado Kloos,Madrid,Universidad Carlos III de Madrid,"['hybrid learning environments', 'augmented reality', 'augmented virtuality', 'mirror worlds', '3D virtual worlds', 'architecture for virtual learning environments']",POINT (-3.7035825 40.4167047),"Madrid, Comunidad de Madrid, España"
Christian Gütl,Graz,Graz University of Technology,[],POINT (15.4382786 47.0708678),"Graz, Steiermark, Österreich"
Daniel Găină,Nomi,Japan Advanced Institute of Science and Technology,"['institution', 'Horn logic', 'proof theory', 'completeness', 'induction', 'constructor']",POINT (11.071881 45.928599),"Nomi, 38060, Trentino-Alto Adige/Südtirol, Italia"
Kokichi Futatsugi,Nomi,Japan Advanced Institute of Science and Technology,"['institution', 'Horn logic', 'proof theory', 'completeness', 'induction', 'constructor']",POINT (11.071881 45.928599),"Nomi, 38060, Trentino-Alto Adige/Südtirol, Italia"
Kazuhiro Ogata,Nomi,Japan Advanced Institute of Science and Technology,"['institution', 'Horn logic', 'proof theory', 'completeness', 'induction', 'constructor']",POINT (11.071881 45.928599),"Nomi, 38060, Trentino-Alto Adige/Südtirol, Italia"
Ajith Abraham,ashington,Machine Intelligence Research Labs (MIR Labs),"['semantic web', 'ontology', 'corpus', 'word senses', 'word sense disambiguation (WSD)', 'coarse-grained word senses']",POINT (-1.57027 55.1832364),"Ashington, England, United Kingdom"
David Griffiths,Bolton,The University of Bolton,"['W3C', 'Widget', 'affordance', 'Personal Learning Environment', 'learning design', 'app store', 'Apache', 'Wookie', 'Rave', 'EDUKapp', 'iTEC', 'Omelette', 'iCamp', 'ROLE']",POINT (-2.4300367 53.5782863),"Bolton, England, United Kingdom"
Mark William Johnson,Bolton,The University of Bolton,"['W3C', 'Widget', 'affordance', 'Personal Learning Environment', 'learning design', 'app store', 'Apache', 'Wookie', 'Rave', 'EDUKapp', 'iTEC', 'Omelette', 'iCamp', 'ROLE']",POINT (-2.4300367 53.5782863),"Bolton, England, United Kingdom"
Kris Popat,Bolton,The University of Bolton,"['W3C', 'Widget', 'affordance', 'Personal Learning Environment', 'learning design', 'app store', 'Apache', 'Wookie', 'Rave', 'EDUKapp', 'iTEC', 'Omelette', 'iCamp', 'ROLE']",POINT (-2.4300367 53.5782863),"Bolton, England, United Kingdom"
Paul Sharples,Bolton,The University of Bolton,"['W3C', 'Widget', 'affordance', 'Personal Learning Environment', 'learning design', 'app store', 'Apache', 'Wookie', 'Rave', 'EDUKapp', 'iTEC', 'Omelette', 'iCamp', 'ROLE']",POINT (-2.4300367 53.5782863),"Bolton, England, United Kingdom"
Scott Wilson,Bolton,The University of Bolton,"['W3C', 'Widget', 'affordance', 'Personal Learning Environment', 'learning design', 'app store', 'Apache', 'Wookie', 'Rave', 'EDUKapp', 'iTEC', 'Omelette', 'iCamp', 'ROLE']",POINT (-2.4300367 53.5782863),"Bolton, England, United Kingdom"
Rob J.M. Hartog,Wageningen,Wageningen University,"['activating digital learning resources', 'learning objects', 'requirements engineering', 'design-oriented research', 'large-scale use']",POINT (5.668298061827958 51.9685817),"Wageningen, Nederland"
Adrie J.M. Beulens,Wageningen,Wageningen University,"['activating digital learning resources', 'learning objects', 'requirements engineering', 'design-oriented research', 'large-scale use']",POINT (5.668298061827958 51.9685817),"Wageningen, Nederland"
Johannes Tramper,Wageningen,Wageningen University,"['activating digital learning resources', 'learning objects', 'requirements engineering', 'design-oriented research', 'large-scale use']",POINT (5.668298061827958 51.9685817),"Wageningen, Nederland"
Atif Latif,Kiel,Leibniz Information Center for Economics,[],POINT (10.135555 54.3227085),"Kiel, Schleswig-Holstein, Deutschland"
Hermann Maurer,Graz,Graz University of Technology,[],POINT (15.4382786 47.0708678),"Graz, Steiermark, Österreich"
María-Teresa Martín-Valdivia,Jaén,University of Jaén,"['opinion mining', 'sentiment polarity', 'neutral examples', 'NLP']",POINT (-3.7883289 37.7728858),"Jaén, Andalucía, España"
Arturo Montejo-Ráez,Jaén,University of Jaén,"['opinion mining', 'sentiment polarity', 'neutral examples', 'NLP']",POINT (-3.7883289 37.7728858),"Jaén, Andalucía, España"
Alfonso Ureña-López,Jaén,University of Jaén,"['opinion mining', 'sentiment polarity', 'neutral examples', 'NLP']",POINT (-3.7883289 37.7728858),"Jaén, Andalucía, España"
Mohammed Rushdi Saleh,Jaén,University of Jaén,"['opinion mining', 'sentiment polarity', 'neutral examples', 'NLP']",POINT (-3.7883289 37.7728858),"Jaén, Andalucía, España"
Javier Melero,Barcelona,Universitat Pompeu Fabra,"['literature review', 'ICT Engineering Education', 'teaching and learning strategies', 'constructivism', 'scaffolding']",POINT (2.1774322 41.3828939),"Barcelona, 08001, Catalunya, España"
Davinia Hernández-Leo,Barcelona,Universitat Pompeu Fabra,"['literature review', 'ICT Engineering Education', 'teaching and learning strategies', 'constructivism', 'scaffolding']",POINT (2.1774322 41.3828939),"Barcelona, 08001, Catalunya, España"
Josep Blat,Barcelona,Universitat Pompeu Fabra,"['literature review', 'ICT Engineering Education', 'teaching and learning strategies', 'constructivism', 'scaffolding']",POINT (2.1774322 41.3828939),"Barcelona, 08001, Catalunya, España"
Klaus-Dieter Schewe,Linz,Johannes Kepler University Linz,[],POINT (14.286198 48.3059078),"Linz, Österreich"
Bernhard Thalheim,Kiel,Christian Albrechts University Kiel,[],POINT (10.135555 54.3227085),"Kiel, Schleswig-Holstein, Deutschland"
Juan M. Vara,Madrid,Rey Juan Carlos University,"['service evolution', 'model-driven engineering', 'compatibility', 'type theory']",POINT (-3.7035825 40.4167047),"Madrid, Comunidad de Madrid, España"
Vasilios Andrikopoulos,Stuttgart,University of Stuttgart,"['service evolution', 'model-driven engineering', 'compatibility', 'type theory']",POINT (9.1800132 48.7784485),"Stuttgart, Baden-Württemberg, Deutschland"
Michael P. Papazoglou,Tilburg,Tilburg University,"['service evolution', 'model-driven engineering', 'compatibility', 'type theory']",POINT (5.0886014 51.5562404),"Tilburg, Noord-Brabant, Nederland"
Esperanza Marcos,Madrid,Rey Juan Carlos University,"['service evolution', 'model-driven engineering', 'compatibility', 'type theory']",POINT (-3.7035825 40.4167047),"Madrid, Comunidad de Madrid, España"
Jose Ignacio Fernández-Villamor,Madrid,Universidad Politécnica de Madrid,"['mashups', 'services', 'widgets', 'components', 'discovery', 'integration']",POINT (-3.7035825 40.4167047),"Madrid, Comunidad de Madrid, España"
Carlos Á. Iglesias,Madrid,Universidad Politécnica de Madrid,"['mashups', 'services', 'widgets', 'components', 'discovery', 'integration']",POINT (-3.7035825 40.4167047),"Madrid, Comunidad de Madrid, España"
Mercedes Garijo,Madrid,Universidad Politécnica de Madrid,"['mashups', 'services', 'widgets', 'components', 'discovery', 'integration']",POINT (-3.7035825 40.4167047),"Madrid, Comunidad de Madrid, España"
Ji Ma,Hagenberg,Software Competence Center Hagenberg,"['risk assessment', 'access control', 'RBAC', 'poset', 'security classification']",POINT (14.516935 48.3674201),"Hagenberg im Mühlkreis, 4232, Österreich"
Bernhard Thalheim,Kiel,(Christian-Albrechts University of Kiel,"['service systems', 'conceptual modelling', 'IT service systems', 'Web-based services', 'classical rhetorical frame', 'Hermagoras of Temnos', 'conceptual model for services']",POINT (10.135555 54.3227085),"Kiel, Schleswig-Holstein, Deutschland"
Valeria de Castro,Madrid,Rey Juan Carlos University,"['service-oriented', 'model-driven development', 'Web information systems']",POINT (-3.7035825 40.4167047),"Madrid, Comunidad de Madrid, España"
Juan Manuel Vara,Madrid,Rey Juan Carlos University,"['service-oriented', 'model-driven development', 'Web information systems']",POINT (-3.7035825 40.4167047),"Madrid, Comunidad de Madrid, España"
Esperanza Marcos,Madrid,Rey Juan Carlos University,"['service-oriented', 'model-driven development', 'Web information systems']",POINT (-3.7035825 40.4167047),"Madrid, Comunidad de Madrid, España"
Carlos Delgado Kloos,Madrid,Universidad Carlos III de Madrid,[],POINT (-3.7035825 40.4167047),"Madrid, Comunidad de Madrid, España"
Christian Gütl,Graz,Graz University of Technology,[],POINT (15.4382786 47.0708678),"Graz, Steiermark, Österreich"
Frank Kappe,Graz,Graz University of Technology,[],POINT (15.4382786 47.0708678),"Graz, Steiermark, Österreich"
David Griol,Leganés,Carlos III University of Madrid,"['Virtual Worlds', 'Second Life', 'OpenSimulator', 'Sloodle', 'E-learning', 'speech interaction']",POINT (-3.76527 40.3281942),"Leganés, Comunidad de Madrid, España"
José Manuel Molina,Leganés,Carlos III University of Madrid,"['Virtual Worlds', 'Second Life', 'OpenSimulator', 'Sloodle', 'E-learning', 'speech interaction']",POINT (-3.76527 40.3281942),"Leganés, Comunidad de Madrid, España"
Araceli Sanchis de Miguel,Leganés,Carlos III University of Madrid,"['Virtual Worlds', 'Second Life', 'OpenSimulator', 'Sloodle', 'E-learning', 'speech interaction']",POINT (-3.76527 40.3281942),"Leganés, Comunidad de Madrid, España"
Zoraida Callejas,Granada,University of Granada,"['Virtual Worlds', 'Second Life', 'OpenSimulator', 'Sloodle', 'E-learning', 'speech interaction']",POINT (-3.5995337 37.1734995),"Granada, Andalucía, España"
Nathan Labhart,Zürich,University of Zurich,"['global teaching', 'intercultural learning', 'videoconference', '3D collaborative virtual environments']",POINT (8.5410422 47.3744489),"Zürich, Zürich, Schweiz/Suisse/Svizzera/Svizra"
Andy Zbinden,Zürich,SWITCH,"['global teaching', 'intercultural learning', 'videoconference', '3D collaborative virtual environments']",POINT (8.5410422 47.3744489),"Zürich, Zürich, Schweiz/Suisse/Svizzera/Svizra"
Andreas Schmeil,Lugano,University of Lugano,"['global teaching', 'intercultural learning', 'videoconference', '3D collaborative virtual environments']",POINT (8.9520281 46.0050102),"Lugano, Ticino, Schweiz/Suisse/Svizzera/Svizra"
María Blanca Ibáñez,Leganés,Universidad Carlos III de Madrid,"['authoring tools', '3D collaborative virtual worlds', 'computer based assessment', 'TAM']",POINT (-3.76527 40.3281942),"Leganés, Comunidad de Madrid, España"
José Jesús Garcia Rueda,Leganés,Universidad Carlos III de Madrid,"['authoring tools', '3D collaborative virtual worlds', 'computer based assessment', 'TAM']",POINT (-3.76527 40.3281942),"Leganés, Comunidad de Madrid, España"
Diego Morillo,Leganés,Universidad Carlos III de Madrid,"['authoring tools', '3D collaborative virtual worlds', 'computer based assessment', 'TAM']",POINT (-3.76527 40.3281942),"Leganés, Comunidad de Madrid, España"
Carlos Delgado Kloos,Leganés,Universidad Carlos III de Madrid,"['authoring tools', '3D collaborative virtual worlds', 'computer based assessment', 'TAM']",POINT (-3.76527 40.3281942),"Leganés, Comunidad de Madrid, España"
Pilar Sancho,Madrid,Complutense University of Madrid,"['computer supported collaborative learning', 'problem based learning', 'learning in multi-user virtual environments']",POINT (-3.7035825 40.4167047),"Madrid, Comunidad de Madrid, España"
Javier Torrente,Madrid,Complutense University of Madrid,"['computer supported collaborative learning', 'problem based learning', 'learning in multi-user virtual environments']",POINT (-3.7035825 40.4167047),"Madrid, Comunidad de Madrid, España"
Baltasar Fernández-Manjón,Madrid,Complutense University of Madrid,"['computer supported collaborative learning', 'problem based learning', 'learning in multi-user virtual environments']",POINT (-3.7035825 40.4167047),"Madrid, Comunidad de Madrid, España"
Alok Mishra,Ankara,Atilim University,[],POINT (32.8540497 39.9207759),"Ankara, 06420, Çankaya, Ankara, Türkiye"
Jürgen Münch,Helsinki,University of Helsinki,[],POINT (24.9427473 60.1674881),"Helsinki, Manner-Suomi, Suomi"
Deepti Mishra,Ankara,Atilim University,[],POINT (32.8540497 39.9207759),"Ankara, 06420, Çankaya, Ankara, Türkiye"
José Luis Hernández,Ciudad Real,University of Castilla-La Mancha,"['trust', 'distributed software sevelopment (DSD)', 'global software development (GSD)', 'tools for GSD']",POINT (-3.9285138 38.9854201),"Ciudad Real, Castilla-La Mancha, España"
Aurora Vizcaíno,Ciudad Real,University of Castilla-La Mancha,"['trust', 'distributed software sevelopment (DSD)', 'global software development (GSD)', 'tools for GSD']",POINT (-3.9285138 38.9854201),"Ciudad Real, Castilla-La Mancha, España"
Ismael Caballero,Ciudad Real,University of Castilla-La Mancha,"['trust', 'distributed software sevelopment (DSD)', 'global software development (GSD)', 'tools for GSD']",POINT (-3.9285138 38.9854201),"Ciudad Real, Castilla-La Mancha, España"
Ricardo Colomo-Palacios,Leganes,Universidad Carlos III de Madrid,"['global software development', 'product manager', 'release planning', 'focus group', 'Delphi study']",POINT (-3.76527 40.3281942),"Leganés, Comunidad de Madrid, España"
Pedro Soto-Acosta,Murcia,Universidad de Murcia,"['global software development', 'product manager', 'release planning', 'focus group', 'Delphi study']",POINT (-1.1305431 37.9923795),"Murcia, Región de Murcia, España"
Francisco J. García-Peñalvo,Salamanca,Universidad de Salamanca,"['global software development', 'product manager', 'release planning', 'focus group', 'Delphi study']",POINT (-5.6640182 40.9651572),"Salamanca, Castilla y León, España"
Ángel García-Crespo,Leganes,Universidad Carlos III de Madrid,"['global software development', 'product manager', 'release planning', 'focus group', 'Delphi study']",POINT (-3.76527 40.3281942),"Leganés, Comunidad de Madrid, España"
Nicolas Padilla,Almeria,University of Almeria,"['MDE', 'component-based development', 'user interfaces', 'user interaction', 'cooperative systems']",POINT (-2.4628135 36.8414197),"Almería, Andalucía, España"
Javier Criado,Almeria,University of Almeria,"['MDE', 'component-based development', 'user interfaces', 'user interaction', 'cooperative systems']",POINT (-2.4628135 36.8414197),"Almería, Andalucía, España"
Cristina Vicente-Chicote,Cartagena,Technical University of Cartagena,"['MDE', 'component-based development', 'user interfaces', 'user interaction', 'cooperative systems']",POINT (-0.9841152 37.6019353),"Cartagena, Región de Murcia, España"
Deepti Mishra,Ankara,Atilim University Incek,"['global software development', 'distributed software development', 'software inspection', 'tool', 'software quality']",POINT (32.8540497 39.9207759),"Ankara, 06420, Çankaya, Ankara, Türkiye"
Alok Mishra,Ankara,Atilim University Incek,"['global software development', 'distributed software development', 'software inspection', 'tool', 'software quality']",POINT (32.8540497 39.9207759),"Ankara, 06420, Çankaya, Ankara, Türkiye"
Christian Gütl,Graz,Graz University of Technology,[],POINT (15.4382786 47.0708678),"Graz, Steiermark, Österreich"
Lutz Prechelt,Berlin,Freie Universität Berlin,"['FNR', 'failures', 'forum', 'negative results']",POINT (13.3888599 52.5170365),"Berlin, Deutschland"
Dario Della Monica,Reykjavik,Reykjavik University,"['interval neighborhood logics', 'undecidability', 'hybrid logics', 'interval length binders', 'first-order logic']",POINT (-21.9422367 64.145981),"Reykjavík, Ísland"
Valentin Goranko,Copenhagen,Technical Institute of Denmark,"['interval neighborhood logics', 'undecidability', 'hybrid logics', 'interval length binders', 'first-order logic']",POINT (12.5700724 55.6867243),"København, 1357, Region Hovedstaden, Danmark"
Angelo Montanari,Udine,University of Udine,"['interval neighborhood logics', 'undecidability', 'hybrid logics', 'interval length binders', 'first-order logic']",POINT (13.2358377 46.0634632),"Udine, 33100, Friuli Venezia Giulia, Italia"
Guido Sciavicco,Murcia,University of Murcia,"['interval neighborhood logics', 'undecidability', 'hybrid logics', 'interval length binders', 'first-order logic']",POINT (-1.1305431 37.9923795),"Murcia, Región de Murcia, España"
Jonas Lundberg,Vaxjo,Linnaeus University,"['static program analysis', 'points-to analysis', 'context sensitivity']",POINT (14.8094385 56.8787183),"Växjö, 351 04, Sverige"
Welf Lowe,Vaxjo,Linnaeus University,"['static program analysis', 'points-to analysis', 'context sensitivity']",POINT (14.8094385 56.8787183),"Växjö, 351 04, Sverige"
Iosif Petrakis,München,Ludwig-Maximilians Universität München,"['constructive mathematics', 'countable choice']",POINT (11.5753822 48.1371079),"München, Bayern, Deutschland"
Vladimir Tarasov,Jönköping,Jönköping University,"['competence', 'competence managemen', 'competence profile', 'formalisation', 'ontology-based profile', 'OWL', 'Jena']",POINT (14.165719 57.7825634),"Jönköping, 551 86, Sverige"
